user_id,title,genre,watch_count,watch_hours,last_watched,rating,liked,device,age_group,viewing_history,total_sessions,avg_session_min,binge_category
U1,Forrest Gump,Drama,16,37.9,2025-03-31 10:31:25,2.5,False,smart-tv,36-45,"[{'timestamp': '2025-01-30 10:31', 'duration_min': 32}, {'timestamp': '2025-03-19 10:31', 'duration_min': 123}, {'timestamp': '2025-02-28 10:31', 'duration_min': 97}, {'timestamp': '2025-03-14 10:31', 'duration_min': 77}, {'timestamp': '2025-02-06 10:31', 'duration_min': 66}]",5,79.0,High Binge
U2,The Silence of the Lambs,Thriller,19,37.4,2025-06-15 10:31:25,3.0,True,tablet,56+,"[{'timestamp': '2025-05-05 10:31', 'duration_min': 55}]",1,55.0,Non-Binge
U3,Se7en,Thriller,15,31.8,2025-04-19 10:31:25,4.0,False,laptop,36-45,"[{'timestamp': '2025-03-17 10:31', 'duration_min': 63}, {'timestamp': '2025-04-10 10:31', 'duration_min': 38}]",2,50.5,Low Binge
U4,Inception,Sci-Fi,11,27.1,2025-06-12 10:31:25,1.0,True,mobile,36-45,"[{'timestamp': '2025-05-19 10:31', 'duration_min': 50}, {'timestamp': '2025-05-14 10:31', 'duration_min': 55}]",2,52.5,Low Binge
U5,The Godfather,Crime,10,29.2,2025-04-13 10:31:25,2.0,False,gaming-console,36-45,"[{'timestamp': '2025-02-16 10:31', 'duration_min': 101}, {'timestamp': '2025-04-02 10:31', 'duration_min': 88}]",2,94.5,Low Binge
U6,The Silence of the Lambs,Thriller,19,37.4,2025-05-31 10:31:25,3.0,True,tablet,26-35,"[{'timestamp': '2025-05-25 10:31', 'duration_min': 21}]",1,21.0,Non-Binge
U7,The Shawshank Redemption,Drama,14,33.1,2025-05-28 10:31:25,1.0,False,gaming-console,36-45,"[{'timestamp': '2025-04-17 10:31', 'duration_min': 93}]",1,93.0,Non-Binge
U8,The Godfather,Crime,5,14.6,2025-05-14 10:31:25,2.0,True,mobile,46-55,"[{'timestamp': '2025-04-30 10:31', 'duration_min': 155}, {'timestamp': '2025-04-14 10:31', 'duration_min': 142}, {'timestamp': '2025-04-18 10:31', 'duration_min': 134}]",3,143.66666666666666,Medium Binge
U9,The Godfather,Crime,2,5.8,2025-04-14 10:31:25,1.0,True,smart-tv,26-35,"[{'timestamp': '2025-03-20 10:31', 'duration_min': 60}, {'timestamp': '2025-03-04 10:31', 'duration_min': 117}, {'timestamp': '2025-02-19 10:31', 'duration_min': 172}, {'timestamp': '2025-04-06 10:31', 'duration_min': 60}]",4,102.25,Medium Binge
U10,The Godfather,Crime,18,52.5,2025-06-19 10:31:25,5.0,True,mobile,56+,"[{'timestamp': '2025-06-01 10:31', 'duration_min': 41}, {'timestamp': '2025-04-22 10:31', 'duration_min': 139}]",2,90.0,Low Binge
U11,The Matrix,Sci-Fi,8,18.1,2025-05-16 10:31:25,4.0,True,mobile,56+,"[{'timestamp': '2025-04-02 10:31', 'duration_min': 34}, {'timestamp': '2025-03-25 10:31', 'duration_min': 125}, {'timestamp': '2025-03-27 10:31', 'duration_min': 107}]",3,88.66666666666667,Medium Binge
U12,The Dark Knight,Action,9,22.8,2025-05-02 10:31:25,4.0,True,gaming-console,26-35,"[{'timestamp': '2025-04-12 10:31', 'duration_min': 136}, {'timestamp': '2025-04-27 10:31', 'duration_min': 70}, {'timestamp': '2025-03-28 10:31', 'duration_min': 101}, {'timestamp': '2025-03-21 10:31', 'duration_min': 29}, {'timestamp': '2025-03-28 10:31', 'duration_min': 149}]",5,97.0,High Binge
U13,The Dark Knight,Action,14,35.5,2025-05-23 10:31:25,1.0,True,mobile,26-35,"[{'timestamp': '2025-05-14 10:31', 'duration_min': 102}, {'timestamp': '2025-04-30 10:31', 'duration_min': 99}, {'timestamp': '2025-05-17 10:31', 'duration_min': 74}, {'timestamp': '2025-05-13 10:31', 'duration_min': 96}, {'timestamp': '2025-04-28 10:31', 'duration_min': 125}]",5,99.2,High Binge
U14,The Godfather,Crime,3,8.8,2025-06-16 10:31:25,3.0,False,mobile,36-45,"[{'timestamp': '2025-05-18 10:31', 'duration_min': 113}]",1,113.0,Non-Binge
U15,Inception,Sci-Fi,19,46.9,2025-04-17 10:31:25,3.0,True,mobile,36-45,"[{'timestamp': '2025-03-27 10:31', 'duration_min': 124}, {'timestamp': '2025-04-13 10:31', 'duration_min': 25}, {'timestamp': '2025-03-13 10:31', 'duration_min': 134}, {'timestamp': '2025-03-28 10:31', 'duration_min': 74}]",4,89.25,Medium Binge
U16,The Godfather,Crime,9,26.2,2025-04-18 10:31:25,2.0,True,laptop,26-35,"[{'timestamp': '2025-03-24 10:31', 'duration_min': 90}]",1,90.0,Non-Binge
U17,The Matrix,Sci-Fi,8,18.1,2025-04-14 10:31:25,2.0,True,gaming-console,56+,"[{'timestamp': '2025-03-27 10:31', 'duration_min': 67}, {'timestamp': '2025-02-19 10:31', 'duration_min': 118}, {'timestamp': '2025-03-23 10:31', 'duration_min': 118}, {'timestamp': '2025-02-23 10:31', 'duration_min': 69}]",4,93.0,Medium Binge
U18,Inception,Sci-Fi,5,12.3,2025-05-14 10:31:25,4.0,False,gaming-console,26-35,"[{'timestamp': '2025-04-27 10:31', 'duration_min': 145}, {'timestamp': '2025-04-12 10:31', 'duration_min': 48}, {'timestamp': '2025-03-27 10:31', 'duration_min': 73}, {'timestamp': '2025-05-08 10:31', 'duration_min': 54}, {'timestamp': '2025-04-07 10:31', 'duration_min': 26}]",5,69.2,High Binge
