user_id,title,genre,watch_count,watch_hours,last_watched,rating,liked,device,age_group,viewing_history
U1,Forrest Gump,Drama,16,37.9,2025-03-31 10:31:25,,False,smart-tv,36-45,"[{""timestamp"": ""2025-01-30 10:31"", ""duration_min"": 32}, {""timestamp"": ""2025-03-19 10:31"", ""duration_min"": 123}, {""timestamp"": ""2025-02-28 10:31"", ""duration_min"": 97}, {""timestamp"": ""2025-03-14 10:31"", ""duration_min"": 77}, {""timestamp"": ""2025-02-06 10:31"", ""duration_min"": 66}]"
U2,The Silence of the Lambs,Thriller,19,37.4,2025-06-15 10:31:25,3.0,True,tablet,56+,"[{""timestamp"": ""2025-05-05 10:31"", ""duration_min"": 55}]"
U3,Se7en,Thriller,15,31.8,2025-04-19 10:31:25,4.0,False,laptop,36-45,"[{""timestamp"": ""2025-03-17 10:31"", ""duration_min"": 63}, {""timestamp"": ""2025-04-10 10:31"", ""duration_min"": 38}]"
U4,Inception,Sci-Fi,11,27.1,2025-06-12 10:31:25,1.0,True,mobile,36-45,"[{""timestamp"": ""2025-05-19 10:31"", ""duration_min"": 50}, {""timestamp"": ""2025-05-14 10:31"", ""duration_min"": 55}]"
U5,The Godfather,Crime,10,29.2,2025-04-13 10:31:25,2.0,False,gaming-console,36-45,"[{""timestamp"": ""2025-02-16 10:31"", ""duration_min"": 101}, {""timestamp"": ""2025-04-02 10:31"", ""duration_min"": 88}]"
U6,The Silence of the Lambs,Thriller,19,37.4,2025-05-31 10:31:25,,True,tablet,26-35,"[{""timestamp"": ""2025-05-25 10:31"", ""duration_min"": 21}]"
U7,The Shawshank Redemption,Drama,14,33.1,2025-05-28 10:31:25,1.0,False,gaming-console,36-45,"[{""timestamp"": ""2025-04-17 10:31"", ""duration_min"": 93}]"
U8,The Godfather,Crime,5,14.6,2025-05-14 10:31:25,2.0,True,mobile,46-55,"[{""timestamp"": ""2025-04-30 10:31"", ""duration_min"": 155}, {""timestamp"": ""2025-04-14 10:31"", ""duration_min"": 142}, {""timestamp"": ""2025-04-18 10:31"", ""duration_min"": 134}]"
U9,The Godfather,Crime,2,5.8,2025-04-14 10:31:25,1.0,True,smart-tv,26-35,"[{""timestamp"": ""2025-03-20 10:31"", ""duration_min"": 60}, {""timestamp"": ""2025-03-04 10:31"", ""duration_min"": 117}, {""timestamp"": ""2025-02-19 10:31"", ""duration_min"": 172}, {""timestamp"": ""2025-04-06 10:31"", ""duration_min"": 60}]"
U10,The Godfather,Crime,18,52.5,2025-06-19 10:31:25,5.0,True,mobile,56+,"[{""timestamp"": ""2025-06-01 10:31"", ""duration_min"": 41}, {""timestamp"": ""2025-04-22 10:31"", ""duration_min"": 139}]"
U11,The Matrix,Sci-Fi,8,18.1,2025-05-16 10:31:25,4.0,True,mobile,56+,"[{""timestamp"": ""2025-04-02 10:31"", ""duration_min"": 34}, {""timestamp"": ""2025-03-25 10:31"", ""duration_min"": 125}, {""timestamp"": ""2025-03-27 10:31"", ""duration_min"": 107}]"
U12,The Dark Knight,Action,9,22.8,2025-05-02 10:31:25,4.0,True,gaming-console,26-35,"[{""timestamp"": ""2025-04-12 10:31"", ""duration_min"": 136}, {""timestamp"": ""2025-04-27 10:31"", ""duration_min"": 70}, {""timestamp"": ""2025-03-28 10:31"", ""duration_min"": 101}, {""timestamp"": ""2025-03-21 10:31"", ""duration_min"": 29}, {""timestamp"": ""2025-03-28 10:31"", ""duration_min"": 149}]"
U13,The Dark Knight,Action,14,35.5,2025-05-23 10:31:25,1.0,True,mobile,26-35,"[{""timestamp"": ""2025-05-14 10:31"", ""duration_min"": 102}, {""timestamp"": ""2025-04-30 10:31"", ""duration_min"": 99}, {""timestamp"": ""2025-05-17 10:31"", ""duration_min"": 74}, {""timestamp"": ""2025-05-13 10:31"", ""duration_min"": 96}, {""timestamp"": ""2025-04-28 10:31"", ""duration_min"": 125}]"
U14,The Godfather,Crime,3,8.8,2025-06-16 10:31:25,,False,mobile,36-45,"[{""timestamp"": ""2025-05-18 10:31"", ""duration_min"": 113}]"
U15,Inception,Sci-Fi,19,46.9,2025-04-17 10:31:25,3.0,True,mobile,36-45,"[{""timestamp"": ""2025-03-27 10:31"", ""duration_min"": 124}, {""timestamp"": ""2025-04-13 10:31"", ""duration_min"": 25}, {""timestamp"": ""2025-03-13 10:31"", ""duration_min"": 134}, {""timestamp"": ""2025-03-28 10:31"", ""duration_min"": 74}]"
U16,The Godfather,Crime,9,26.2,2025-04-18 10:31:25,2.0,True,laptop,26-35,"[{""timestamp"": ""2025-03-24 10:31"", ""duration_min"": 90}]"
U17,The Matrix,Sci-Fi,8,18.1,2025-04-14 10:31:25,2.0,True,gaming-console,56+,"[{""timestamp"": ""2025-03-27 10:31"", ""duration_min"": 67}, {""timestamp"": ""2025-02-19 10:31"", ""duration_min"": 118}, {""timestamp"": ""2025-03-23 10:31"", ""duration_min"": 118}, {""timestamp"": ""2025-02-23 10:31"", ""duration_min"": 69}]"
U18,Inception,Sci-Fi,5,12.3,2025-05-14 10:31:25,4.0,False,gaming-console,26-35,"[{""timestamp"": ""2025-04-27 10:31"", ""duration_min"": 145}, {""timestamp"": ""2025-04-12 10:31"", ""duration_min"": 48}, {""timestamp"": ""2025-03-27 10:31"", ""duration_min"": 73}, {""timestamp"": ""2025-05-08 10:31"", ""duration_min"": 54}, {""timestamp"": ""2025-04-07 10:31"", ""duration_min"": 26}]"
U19,Interstellar,Sci-Fi,6,16.9,2025-04-07 10:31:25,3.0,True,laptop,18-25,"[{""timestamp"": ""2025-04-05 10:31"", ""duration_min"": 111}, {""timestamp"": ""2025-02-15 10:31"", ""duration_min"": 69}, {""timestamp"": ""2025-03-31 10:31"", ""duration_min"": 98}, {""timestamp"": ""2025-03-28 10:31"", ""duration_min"": 49}, {""timestamp"": ""2025-02-23 10:31"", ""duration_min"": 80}]"
U20,Inception,Sci-Fi,5,12.3,2025-05-04 10:31:25,1.0,True,smart-tv,18-25,"[{""timestamp"": ""2025-04-09 10:31"", ""duration_min"": 42}, {""timestamp"": ""2025-03-05 10:31"", ""duration_min"": 91}, {""timestamp"": ""2025-04-12 10:31"", ""duration_min"": 109}, {""timestamp"": ""2025-03-15 10:31"", ""duration_min"": 21}]"
U21,The Godfather,Crime,5,14.6,2025-06-03 10:31:25,1.0,False,tablet,18-25,"[{""timestamp"": ""2025-04-27 10:31"", ""duration_min"": 29}, {""timestamp"": ""2025-04-29 10:31"", ""duration_min"": 105}, {""timestamp"": ""2025-05-07 10:31"", ""duration_min"": 137}, {""timestamp"": ""2025-05-09 10:31"", ""duration_min"": 81}]"
U22,The Shawshank Redemption,Drama,12,28.4,2025-05-08 10:31:25,1.0,False,mobile,36-45,"[{""timestamp"": ""2025-03-25 10:31"", ""duration_min"": 95}, {""timestamp"": ""2025-05-02 10:31"", ""duration_min"": 49}, {""timestamp"": ""2025-03-20 10:31"", ""duration_min"": 141}, {""timestamp"": ""2025-04-15 10:31"", ""duration_min"": 48}]"
U23,Interstellar,Sci-Fi,14,39.4,2025-04-14 10:31:25,1.0,True,smart-tv,46-55,"[{""timestamp"": ""2025-02-14 10:31"", ""duration_min"": 92}, {""timestamp"": ""2025-03-12 10:31"", ""duration_min"": 97}, {""timestamp"": ""2025-03-28 10:31"", ""duration_min"": 49}, {""timestamp"": ""2025-03-21 10:31"", ""duration_min"": 152}, {""timestamp"": ""2025-04-05 10:31"", ""duration_min"": 153}]"
U24,Interstellar,Sci-Fi,11,31.0,2025-04-23 10:31:25,4.0,True,tablet,36-45,"[{""timestamp"": ""2025-04-14 10:31"", ""duration_min"": 48}, {""timestamp"": ""2025-04-14 10:31"", ""duration_min"": 160}, {""timestamp"": ""2025-02-26 10:31"", ""duration_min"": 60}]"
